latitude,longitude,elevation
16.50896798,80.58509011,14
16.50815949,80.58509011,17
16.50735101,80.58509011,13
16.50654252,80.58509011,16
16.5275631,80.58589859,18
16.52675462,80.58589859,14
16.52594614,80.58589859,15
16.52513765,80.58589859,15
16.52432917,80.58589859,14
16.52352068,80.58589859,17
16.5227122,80.58589859,15
16.52190372,80.58589859,15
16.52109523,80.58589859,15
16.52028675,80.58589859,14
16.51462736,80.58589859,18
16.51381888,80.58589859,8
16.51058494,80.58589859,15
16.50977646,80.58589859,16
16.50896798,80.58589859,14
16.50815949,80.58589859,14
16.50735101,80.58589859,16
16.50654252,80.58589859,14
16.50573404,80.58589859,17
16.52594614,80.58670707,14
16.52513765,80.58670707,18
16.52432917,80.58670707,14
16.52352068,80.58670707,14
16.5227122,80.58670707,18
16.52190372,80.58670707,18
16.52109523,80.58670707,18
16.52028675,80.58670707,18
16.51947827,80.58670707,25
16.51462736,80.58670707,15
16.51381888,80.58670707,11
16.50977646,80.58670707,14
16.50896798,80.58670707,17
16.50815949,80.58670707,17
16.50735101,80.58670707,16
16.50654252,80.58670707,17
16.50573404,80.58670707,17
16.52594614,80.58751556,18
16.52513765,80.58751556,15
16.52432917,80.58751556,17
16.52352068,80.58751556,18
16.5227122,80.58751556,14
16.52190372,80.58751556,14
16.52109523,80.58751556,14
16.52028675,80.58751556,17
16.51947827,80.58751556,25
16.51462736,80.58751556,15
16.51381888,80.58751556,17
16.50977646,80.58751556,9
16.50896798,80.58751556,13
16.50815949,80.58751556,13
16.50735101,80.58751556,17
16.50654252,80.58751556,14
16.50573404,80.58751556,16
16.50492556,80.58751556,24
16.52513765,80.58832404,14
16.52432917,80.58832404,14
16.52352068,80.58832404,18
16.5227122,80.58832404,17
16.52190372,80.58832404,15
16.52109523,80.58832404,15
16.52028675,80.58832404,14
16.51947827,80.58832404,17
16.51462736,80.58832404,20
16.51381888,80.58832404,16
16.50896798,80.58832404,15
16.50815949,80.58832404,13
16.50735101,80.58832404,14
16.50654252,80.58832404,16
16.50573404,80.58832404,12
16.50492556,80.58832404,15
16.52432917,80.58913253,15
16.52352068,80.58913253,15
16.5227122,80.58913253,15
16.52190372,80.58913253,15
16.52109523,80.58913253,17
16.52028675,80.58913253,14
16.51947827,80.58913253,17
16.51866978,80.58913253,20
16.51381888,80.58913253,14
16.5130104,80.58913253,13
16.50896798,80.58913253,5
16.50815949,80.58913253,13
16.50735101,80.58913253,15
16.50654252,80.58913253,12
16.50573404,80.58913253,16
16.50492556,80.58913253,16
16.50411707,80.58913253,17
16.52432917,80.58994101,18
16.52352068,80.58994101,14
16.5227122,80.58994101,14
16.52190372,80.58994101,18
16.52109523,80.58994101,15
16.52028675,80.58994101,13
16.51947827,80.58994101,13
16.51866978,80.58994101,17
16.51381888,80.58994101,17
16.5130104,80.58994101,16
16.50815949,80.58994101,10
16.50735101,80.58994101,15
16.50654252,80.58994101,16
16.50573404,80.58994101,16
16.50492556,80.58994101,13
16.50411707,80.58994101,12
16.52352068,80.59074949,17
16.5227122,80.59074949,18
16.52190372,80.59074949,18
16.52109523,80.59074949,16
16.52028675,80.59074949,14
16.51947827,80.59074949,17
16.51866978,80.59074949,13
16.5178613,80.59074949,17
16.51381888,80.59074949,13
16.5130104,80.59074949,16
16.50735101,80.59074949,12
16.50654252,80.59074949,15
16.50573404,80.59074949,12
16.50492556,80.59074949,15
16.50411707,80.59074949,12
16.5227122,80.59155798,15
16.52190372,80.59155798,13
16.52109523,80.59155798,13
16.52028675,80.59155798,14
16.51947827,80.59155798,17
16.51866978,80.59155798,17
16.5178613,80.59155798,13
16.51381888,80.59155798,17
16.5130104,80.59155798,12
16.50735101,80.59155798,15
16.50654252,80.59155798,15
16.50573404,80.59155798,12
16.50492556,80.59155798,16
16.50411707,80.59155798,16
16.52190372,80.59236646,14
16.52109523,80.59236646,13
16.52028675,80.59236646,16
16.51947827,80.59236646,17
16.51866978,80.59236646,13
16.5178613,80.59236646,16
16.51705281,80.59236646,17
16.51624433,80.59236646,14
16.5130104,80.59236646,15
16.51220191,80.59236646,14
16.50735101,80.59236646,16
16.50654252,80.59236646,15
16.50573404,80.59236646,13
16.50492556,80.59236646,15
16.50411707,80.59236646,16
16.52109523,80.59317494,13
